Ano;Disciplina;Palavra (na grade);Dica
1º Ano;Geografia;CIDADE;Lugar cheio de casas, ruas e prédios 🏙️
1º Ano;Geografia;MAPA;Desenho que mostra onde ficam os lugares 🗺️
1º Ano;Geografia;CAMPO;Lugar do interior, com muito verde 🌾
1º Ano;Geografia;PRAIA;Lugar com areia e mar 🏖️
1º Ano;História;FAMILIA;Papai, mamãe, irmãos e você 👨‍👩‍👧
1º Ano;História;ONTEM;O dia que passou, antes de hoje
1º Ano;História;HOJE;O dia de agora, em que estamos
1º Ano;História;VOVO;O pai do seu pai ou da sua mãe 👴
1º Ano;História;NOME;Como cada pessoa é chamada
1º Ano;História;FESTA;Comemoração com bolo, música e alegria 🎉
2º Ano;Matemática;DEZ;Número que vem depois do nove: 10
2º Ano;Matemática;DEZENA;Um grupo de dez unidades
2º Ano;Matemática;DOBRO;O ___ de 4 é 8 (é multiplicar por 2)
2º Ano;Matemática;METADE;A ___ de 10 é 5
2º Ano;Matemática;SOMAR;"Juntar quantidades; o mesmo que adicionar"
2º Ano;Matemática;REGUA;Serve para medir e traçar linhas retas 📏
2º Ano;Português;SILABA;Pedacinho da palavra: CA-SA tem duas
2º Ano;Português;ACENTO;Sinalzinho sobre a letra, como no 'á' de café
2º Ano;Português;PLURAL;"Mais de um; o ___ de gato é gatos"
2º Ano;Português;FRASE;Conjunto de palavras que tem sentido
2º Ano;Português;PONTO;Sinal que encerra a frase: .
2º Ano;Português;MASCULINO;Gênero das palavras 'o menino', 'o cão'
2º Ano;Inglês;GREEN;A cor 'verde' em inglês 🟢
2º Ano;Inglês;APPLE;A fruta 'maçã' em inglês 🍎
2º Ano;Inglês;HOUSE;'Casa' em inglês 🏠
2º Ano;Inglês;HELLO;Como se diz 'olá' em inglês 👋
2º Ano;Inglês;WATER;'Água' em inglês 💧
2º Ano;Inglês;THREE;O número 'três' em inglês
2º Ano;Educação Física;FUTEBOL;Esporte jogado com os pés e uma bola ⚽
2º Ano;Educação Física;EQUIPE;Grupo de jogadores do mesmo time
2º Ano;Educação Física;AMARELINHA;Brincadeira de pular casas numeradas no chão
2º Ano;Educação Física;ALONGAR;Esticar o corpo antes dos exercícios 🤸
2º Ano;Educação Física;CORRIDA;Prova de quem chega mais rápido 🏃
2º Ano;Educação Física;PETECA;Brinquedo de penas que batemos com a mão
2º Ano;Ciências;PLANTA;Ser vivo que nasce da semente e tem raiz 🌱
2º Ano;Ciências;SEMENTE;Dela nasce uma nova planta
2º Ano;Ciências;INSETO;Animal de seis patas, como a formiga 🐜
2º Ano;Ciências;CHUVA;Água que cai das nuvens 🌧️
2º Ano;Ciências;DENTES;"Usamos para mastigar; escovamos todo dia 🦷"
2º Ano;Ciências;RAIZ;Parte da planta que fica embaixo da terra
2º Ano;Artes;PINTURA;Obra feita com tinta e pincel 🖼️
2º Ano;Artes;MUSICA;Arte feita com sons e ritmo 🎵
2º Ano;Artes;TEATRO;Arte de representar histórias no palco 🎭
2º Ano;Artes;COLAGEM;Arte de colar papéis para formar figuras ✂️
2º Ano;Artes;CIRCULO;Forma bem redonda, como a roda ⭕
2º Ano;Artes;VERDE;Cor que sai da mistura de azul com amarelo 💚
2º Ano;Geografia;BAIRRO;Parte da cidade onde fica a sua casa
2º Ano;Geografia;RIO;Curso de água doce que corre pela terra 🏞️
2º Ano;Geografia;NORTE;Um dos pontos do mapa (o oposto do sul)
2º Ano;Geografia;PLACA;Sinal na rua que informa e orienta 🚸
2º Ano;Geografia;PONTE;Passagem construída por cima de um rio 🌉
2º Ano;Geografia;HORTA;Lugar onde se plantam verduras e legumes 🥕
2º Ano;História;PASSADO;O tempo que já aconteceu, antes de hoje
2º Ano;História;CALENDARIO;Mostra os dias, semanas e meses 📅
2º Ano;História;ANTIGO;Muito velho, de muito tempo atrás
2º Ano;História;SEMANA;Período de sete dias seguidos
2º Ano;História;MEMORIA;Onde guardamos nossas lembranças 🧠
2º Ano;História;BRINQUEDO;"Antigamente eram de madeira; hoje há muitos"
3º Ano;Matemática;CENTENA;Um grupo de cem unidades
3º Ano;Matemática;DIVIDIR;Repartir em partes iguais
3º Ano;Matemática;TRIANGULO;Figura que tem três lados 🔺
3º Ano;Matemática;QUADRADO;Figura com quatro lados iguais ⬛
3º Ano;Matemática;SUBTRAIR;"Tirar; o mesmo que diminuir"
3º Ano;Matemática;METRO;Unidade usada para medir comprimento 📏
3º Ano;Português;SUBSTANTIVO;Palavra que dá nome às coisas (casa, gato)
3º Ano;Português;ALFABETO;Conjunto de todas as letras, de A a Z 🔤
3º Ano;Português;RIMA;Sons parecidos no fim dos versos (gato/pato)
3º Ano;Português;LEITURA;O ato de ler um texto ou um livro 📖
3º Ano;Português;DITADO;Atividade de escrever aquilo que se ouve
3º Ano;Português;MAIUSCULA;Letra grande, usada no começo dos nomes
3º Ano;Inglês;YELLOW;A cor 'amarelo' em inglês 🟡
3º Ano;Inglês;SCHOOL;'Escola' em inglês 🏫
3º Ano;Inglês;FRIEND;'Amigo' em inglês 🤝
3º Ano;Inglês;FAMILY;'Família' em inglês 👨‍👩‍👧
3º Ano;Inglês;ORANGE;A fruta 'laranja' em inglês 🍊
3º Ano;Inglês;TEACHER;'Professor' em inglês 👩‍🏫
3º Ano;Educação Física;BASQUETE;Esporte de arremessar a bola na cesta 🏀
3º Ano;Educação Física;GINASTICA;Esporte de saltos, giros e equilíbrio 🤸
3º Ano;Educação Física;VOLEI;Esporte com a bola por cima da rede 🏐
3º Ano;Educação Física;CAPOEIRA;Arte brasileira que mistura luta e dança
3º Ano;Educação Física;ARBITRO;Pessoa que apita e marca as faltas no jogo
3º Ano;Educação Física;SALTO;Impulso do corpo para cima ou para a frente
3º Ano;Ciências;OXIGENIO;Gás do ar que respiramos para viver
3º Ano;Ciências;VERTEBRADO;Animal que tem coluna com vértebras
3º Ano;Ciências;HABITAT;Lugar natural onde um animal vive
3º Ano;Ciências;PULMAO;Órgão que usamos para respirar 🫁
3º Ano;Ciências;ESQUELETO;Todos os ossos do corpo juntos 💀
3º Ano;Ciências;MAMIFERO;Animal que mama leite quando é filhote 🐄
3º Ano;Artes;PAISAGEM;Desenho ou pintura de um lugar 🏞️
3º Ano;Artes;ESCULTURA;Arte feita em barro, pedra ou madeira 🗿
3º Ano;Artes;MELODIA;Sequência de sons que forma a música 🎶
3º Ano;Artes;RETRATO;Desenho ou foto do rosto de alguém 🖼️
3º Ano;Artes;MOSAICO;Figura formada por várias pecinhas coloridas
3º Ano;Artes;PRIMARIA;Cor ___: azul, vermelho e amarelo
3º Ano;Geografia;ESTADO;São Paulo e Bahia são exemplos de ___
3º Ano;Geografia;CAPITAL;Cidade principal de um estado ou país
3º Ano;Geografia;OCEANO;Enorme massa de água salgada 🌊
3º Ano;Geografia;MONTANHA;Elevação muito alta do terreno ⛰️
3º Ano;Geografia;BUSSOLA;Instrumento que sempre aponta o norte 🧭
3º Ano;Geografia;FLORESTA;Lugar com muitíssimas árvores juntas 🌳
3º Ano;História;INDIGENA;Foram os primeiros habitantes do Brasil 🏹
3º Ano;História;COLONIA;O Brasil já foi uma ___ de Portugal
3º Ano;História;MUSEU;Lugar que guarda e expõe objetos antigos 🏛️
3º Ano;História;CULTURA;Costumes, festas e danças de um povo
3º Ano;História;PORTUGAL;País da Europa que colonizou o Brasil
3º Ano;História;CARAVELA;Navio antigo usado nas grandes viagens ⛵
4º Ano;Matemática;FRACAO;Uma parte de um inteiro, como 1/2
4º Ano;Matemática;PERIMETRO;A soma de todos os lados de uma figura
4º Ano;Matemática;DECIMAL;Número com vírgula, como 2,5
4º Ano;Matemática;ANGULO;Abertura entre duas linhas que se encontram 📐
4º Ano;Matemática;MILHAR;Um grupo de mil unidades
4º Ano;Matemática;SIMETRIA;Quando os dois lados ficam iguais, como no espelho
4º Ano;Matemática;GRAFICO;Desenho que mostra dados em barras 📊
4º Ano;Português;ADJETIVO;Palavra que descreve algo (bonito, grande)
4º Ano;Português;VERBO;Palavra de ação (correr, pular, ler)
4º Ano;Português;SINONIMO;Palavra de sentido igual (feliz e contente)
4º Ano;Português;ANTONIMO;Palavra de sentido oposto (alto e baixo)
4º Ano;Português;NARRATIVA;Texto que conta uma história 📚
4º Ano;Português;PARAGRAFO;Trecho do texto que começa em nova linha
4º Ano;Inglês;MONDAY;'Segunda-feira' em inglês 📅
4º Ano;Inglês;WINTER;A estação 'inverno' em inglês ❄️
4º Ano;Inglês;PURPLE;A cor 'roxo' em inglês 🟣
4º Ano;Inglês;MOTHER;'Mãe' em inglês 👩
4º Ano;Inglês;NUMBER;'Número' em inglês 🔢
4º Ano;Inglês;SUMMER;A estação 'verão' em inglês ☀️
4º Ano;Educação Física;HANDEBOL;Esporte de arremessar a bola com as mãos
4º Ano;Educação Física;ATLETISMO;Provas de corrida, salto e arremesso 🏅
4º Ano;Educação Física;XADREZ;Jogo de tabuleiro com rei, rainha e peões ♟️
4º Ano;Educação Física;COOPERAR;Trabalhar junto com os colegas do time 🤝
4º Ano;Educação Física;EQUILIBRIO;Habilidade de não cair, como na trave
4º Ano;Educação Física;ARREMESSO;Lançamento da bola em direção ao alvo
4º Ano;Ciências;DIGESTAO;Processo que transforma o alimento no corpo
4º Ano;Ciências;MICROBIO;Ser vivo minúsculo, só visto no microscópio 🔬
4º Ano;Ciências;ENERGIA;O Sol é a nossa maior fonte de ___ ⚡
4º Ano;Ciências;RECICLAR;Transformar o lixo em algo novo e útil ♻️
4º Ano;Ciências;NUTRIENTE;Substância dos alimentos que dá saúde 🥗
4º Ano;Ciências;PLANETA;A Terra é o nosso ___ 🌍
4º Ano;Artes;AQUARELA;Tinta que se mistura e dilui com água 🎨
4º Ano;Artes;SECUNDARIA;Cor ___: verde, laranja e roxo
4º Ano;Artes;FOTOGRAFIA;Imagem capturada por uma câmera 📷
4º Ano;Artes;HARMONIA;Combinação agradável de cores ou sons
4º Ano;Artes;ORIGAMI;Arte japonesa de dobrar papel 🦢
4º Ano;Artes;PERSPECTIVA;Técnica que dá profundidade ao desenho
4º Ano;Geografia;RELEVO;Formas da terra: montanhas, planícies, vales
4º Ano;Geografia;CLIMA;Pode ser quente, frio, chuvoso ou seco 🌦️
4º Ano;Geografia;REGIAO;O Brasil tem cinco: Norte, Sul, Nordeste...
4º Ano;Geografia;POPULACAO;O conjunto de pessoas que vivem num lugar
4º Ano;Geografia;FRONTEIRA;Linha que separa dois países ou estados
4º Ano;Geografia;HEMISFERIO;Cada metade da Terra: Norte ou Sul 🌐
4º Ano;História;IMIGRANTE;Pessoa que veio morar aqui vinda de outro país
4º Ano;História;REPUBLICA;Forma de governo com um presidente eleito
4º Ano;História;IMPERIO;Época em que o Brasil teve um imperador 👑
4º Ano;História;BANDEIRA;Símbolo do país, verde e amarela 🇧🇷
4º Ano;História;CIDADANIA;Direitos e deveres de quem vive em sociedade
4º Ano;História;ESCRAVIDAO;Trabalho forçado de pessoas no passado do Brasil
5º Ano;Matemática;PORCENTAGEM;Uma parte em cada cem, como 50%
5º Ano;Matemática;POLIGONO;Figura fechada de vários lados retos
5º Ano;Matemática;VOLUME;O espaço que um objeto ocupa 📦
5º Ano;Matemática;DIVISOR;Número pelo qual se divide outro
5º Ano;Matemática;MEDIA;Soma dos valores dividida pela quantidade
5º Ano;Matemática;DIAMETRO;Linha que corta o círculo passando pelo centro
5º Ano;Português;PRONOME;Palavra que substitui o nome (ele, ela, nós)
5º Ano;Português;ORTOGRAFIA;O modo certo de escrever as palavras ✍️
5º Ano;Português;ADVERBIO;Palavra que indica modo, tempo ou lugar
5º Ano;Português;CONECTIVO;Palavra que liga ideias (mas, porque, então)
5º Ano;Português;CRONICA;Texto curto sobre acontecimentos do dia a dia
5º Ano;Português;PARLENDA;Versinho popular de brincar, como 'um, dois, feijão'
5º Ano;Inglês;BREAKFAST;A refeição 'café da manhã' em inglês 🍳
5º Ano;Inglês;WEEKEND;O 'fim de semana' em inglês
5º Ano;Inglês;WEATHER;O 'tempo' (clima) em inglês 🌦️
5º Ano;Inglês;COUNTRY;'País' em inglês 🌎
5º Ano;Inglês;LIBRARY;'Biblioteca' em inglês 📚
5º Ano;Inglês;KITCHEN;'Cozinha' em inglês 🍽️
5º Ano;Educação Física;FUTSAL;Futebol de salão, jogado numa quadra
5º Ano;Educação Física;TATICA;O plano de jogo para tentar vencer a partida
5º Ano;Educação Física;OLIMPIADA;A maior competição esportiva do mundo 🏅
5º Ano;Educação Física;ADVERSARIO;O time ou jogador contra quem se disputa
5º Ano;Educação Física;MODALIDADE;Cada tipo de esporte (natação, judô, vôlei)
5º Ano;Educação Física;FLEXIBILIDADE;Capacidade de dobrar o corpo com facilidade
5º Ano;Ciências;CIRCULACAO;O caminho que o sangue faz pelo corpo ❤️
5º Ano;Ciências;EVAPORACAO;Passagem da água de líquido para vapor 💨
5º Ano;Ciências;ECOSSISTEMA;Conjunto dos seres vivos e do ambiente 🌳
5º Ano;Ciências;RESPIRACAO;Puxar oxigênio e soltar gás carbônico 🫁
5º Ano;Ciências;PUBERDADE;Fase de mudanças do corpo na adolescência
5º Ano;Ciências;GRAVIDADE;Força que puxa tudo para o chão 🍎
5º Ano;Artes;ABSTRATO;Arte sem figuras reais, só formas e cores
5º Ano;Artes;GRAFITE;Arte urbana feita em muros com spray 🎨
5º Ano;Artes;PARTITURA;Papel onde se escrevem as notas musicais 🎼
5º Ano;Artes;COREOGRAFIA;A sequência de passos de uma dança 💃
5º Ano;Artes;CONTRASTE;Diferença forte entre cores, como claro e escuro
5º Ano;Artes;RENASCIMENTO;Período de grandes artistas, como Leonardo da Vinci
5º Ano;Geografia;LATITUDE;Linhas horizontais do mapa, paralelas ao Equador
5º Ano;Geografia;URBANO;Relativo à cidade (o oposto de rural) 🏙️
5º Ano;Geografia;MIGRACAO;Movimento de pessoas de um lugar para outro
5º Ano;Geografia;ATMOSFERA;Camada de ar que envolve toda a Terra
5º Ano;Geografia;HIDROGRAFIA;Estudo dos rios, lagos e mares de uma região 🌊
5º Ano;Geografia;COORDENADA;Par de números que localiza um ponto no mapa
5º Ano;História;CIVILIZACAO;Sociedade organizada, como a egípcia ou a romana
5º Ano;História;REVOLUCAO;Uma grande mudança na sociedade ou no governo
5º Ano;História;DEMOCRACIA;Governo em que o povo escolhe seus líderes 🗳️
5º Ano;História;PATRIMONIO;Bens históricos que devem ser preservados 🏛️
5º Ano;História;CONSTITUICAO;A lei principal que organiza um país 📜
5º Ano;História;ABOLICAO;O fim da escravidão no Brasil, em 1888
